Resonance Energy (eV),Resonance Spin,Total Width (eV),Gamma-N (eV),Gamma-N-Nought (eV),Gamma-Gamma (eV),Gamma-F (eV)
6.85E+01,3.50E+00,2.50E-01,1.08E-04,1.31E-05,5.00E-02,2.00E-01
6.93E+01,3.50E+00,2.01E-01,7.15E-04,8.59E-05,4.00E-02,1.60E-01
7.04E+01,3.50E+00,1.73E-01,2.72E-03,3.24E-04,5.00E-02,1.20E-01
7.08E+01,3.50E+00,2.37E-01,2.41E-03,2.86E-04,3.50E-02,2.00E-01
7.16E+01,3.50E+00,1.60E-01,2.91E-04,3.44E-05,4.00E-02,1.20E-01
7.24E+01,3.50E+00,1.39E-01,2.61E-03,3.07E-04,3.10E-02,1.05E-01
7.29E+01,3.50E+00,3.60E-01,3.67E-04,4.30E-05,4.00E-02,3.20E-01
7.45E+01,3.50E+00,1.02E-01,2.73E-03,3.16E-04,3.80E-02,6.09E-02
7.52E+01,3.50E+00,2.91E-01,8.88E-04,1.02E-04,5.00E-02,2.40E-01
7.55E+01,3.50E+00,2.33E-01,1.36E-03,1.57E-04,3.20E-02,2.00E-01
7.68E+01,3.50E+00,1.16E-01,1.07E-04,1.23E-05,3.60E-02,8.00E-02
7.75E+01,3.50E+00,1.13E-01,9.87E-04,1.12E-04,4.00E-02,7.20E-02
7.81E+01,3.50E+00,1.48E-01,1.22E-03,1.39E-04,4.70E-02,1.00E-01
7.97E+01,3.50E+00,1.30E-01,7.86E-04,8.80E-05,4.40E-02,8.50E-02
8.04E+01,3.50E+00,1.75E-01,8.39E-04,9.35E-05,4.00E-02,1.34E-01
8.14E+01,3.50E+00,1.32E-01,1.04E-03,1.16E-04,4.10E-02,9.00E-02
8.36E+01,3.50E+00,1.18E-01,1.17E-03,1.28E-04,4.80E-02,6.91E-02
8.69E+01,3.50E+00,8.01E-02,7.20E-04,7.72E-05,5.20E-02,2.74E-02
